PMCID	Field	Value_A_Human	Value_B_Copilot	Rank	Comment	Timestamp
PMC10716825	publication/title	MLcps: machine learning cumulative performance score for classification problems	MLcps: machine learning cumulative performance score for classification problems.	Tie_High	Full stop in copilot annotations - unnecessary	2026-01-28T18:21:52.041977
PMC10716825	publication/authors	Akshay Akshay, Masoud Abedi, Navid Shekarchizadeh, Fiona C Burkhard, Mitali Katoch, Alex Bigger-Allen,Rosalyn M Adam, Katia Monastyrskaya, Ali Hashemi Gheinani	Akshay Akshay, Abedi Masoud, Shekarchizadeh Navid, Burkhard Fiona C, Katoch Mitali, Bigger-Allen Alex, Adam Rosalyn M, Monastyrskaya Katia, Gheinani Ali Hashemi	Tie_High	NAme order difference - must specifcy preferred output format (although will use EPMC)	2026-01-28T18:21:54.627295
PMC10716825	publication/journal	GigaScience	GigaScience	Tie_High		2026-01-28T18:21:55.800229
PMC10716825	publication/year	2023	2022	A_Better	Wrong year extraction - 2022 correct	2026-01-28T18:21:59.161497
PMC10716825	publication/doi	10.1093/gigascience/giad108	10.1093/gigascience/giad108	Tie_High		2026-01-28T18:22:29.095698
PMC10716825	publication/tags	[]	"- Machine learning
- Classification problems
- Model evaluation
- Unified evaluation score
- Python package
- Performance metrics
- Model robustness
- Feature selection
- Information retrieval
- Model generalization"	B_Better	No tags but may not have been available at the time as new metadata field.	2026-01-28T18:14:42.160737
PMC10716825	dataset/provenance	"
In this project, we utilized four different publicly available datasets that are well recognized in the domain. The first dataset consisted of mRNA data obtained from a study on Chronic Lymphocytic Leukemia (CLL) patients, measuring their transcriptome profiles. The second dataset was collected from a cervical cancer study that analyzed the expression levels of 714 miRNAs in human samples. The third and fourth datasets were obtained from The Cancer Genome Atlas (TCGA) and included mRNA and miRNA sequencing data from patients with Breast Invasive Carcinoma (BRCA). 
  
<!DOCTYPE html>
<html>
<head>
<style>
table {
  text-align: center;
}
th {
  text-align: center;
}
</style>
</head>
<body>

<table>

  <tr>
    <th>Dataset</th>
    <th>Data type</th>
    <th>Number of Samples</th>
    <th>Number of Features</th>
    <th>Target Class ratio</th>
  </tr>
  <tr>
    <td>CLL</td>
    <td>mRNA</td>
    <td>136</td>
    <td>5000</td>
    <td>Male (n=82): Female (n=54)</td>
  </tr>
  <tr>
    <td>Cervical cancer</td>
    <td>miRNA</td>
    <td>58</td>
    <td>714</td>
    <td>Normal (n=29): Tumor (n=29)</td>
  </tr>
  <tr>
    <td>TCGA-BRCA</td>
    <td>miRNA</td>
    <td>1207</td>
    <td>1404</td>
    <td>Normal (n=104): Tumor (n=1104)</td>
  </tr>
  <tr>
    <td>TCGA-BRCA</td>
    <td>mRNA</td>
    <td>1219</td>
    <td>5520</td>
    <td>Normal (n=113): Tumor (n=1106)</td>
  </tr>

</table>

</body>
</html>

"	"In our study, we utilized four distinct datasets to evaluate the machine learning cumulative performance score (MLcps). The first dataset comprises mRNA data derived from a chronic lymphocytic leukemia (CLL) study. This dataset includes transcriptomic profiles from 136 individuals affected by blood cancer. Our objective was to develop a model capable of distinguishing between male and female patients using their transcriptomic profiles. To achieve this, we focused on the top 5,000 most variably expressed mRNAs, excluding genes from the Y chromosome.

The second dataset was obtained from a study on cervical cancer, where the expression levels of 714 miRNAs were measured in 58 human samples. The third and fourth datasets were collected from The Cancer Genome Atlas (TCGA) and involved mRNA (n = 1,219) and miRNA (n = 1,207) sequencing of breast cancer (BRCA). For the BRCA mRNA dataset, we focused on genes that showed differential expression according to edgeR analysis, with a false discovery rate (FDR) of less than or equal to 0.001 and a fold change log(FC) greater than ±2. Our goal was to develop a model capable of distinguishing between normal and tumor samples for both the cervical cancer and TCGA-BRCA datasets.

The fifth dataset in our study comprises body signal data collected from 100,000 individuals through the National Health Insurance Service in Korea. This dataset includes 21 essential biological signals related to health, such as measurements of systolic blood pressure and total cholesterol levels. Our main goal with this dataset was to determine whether individuals consume alcohol based on the available biological signal information."	Tie_Low	"Copilot must title each repsonse reply for broken down Qs - currently gives one big prosauc repsonse; must differentiate. 
e.g. not clear which is: 
-Source of the dataset?
-Number of data points?
-Data used in previous paper and/or by community? so - repsonse coverage is poor to reattribute. Although in this case superior vs human. 

Should have NA or not enough info on each one. 

Copilot idenitfied 5th dataset not disclosed by author but clear in the paper. DIrect text etarctions - maybe refomrt to third person 'our study'

Prveious data use no comment BUT this is hard to be explained - some comment needed (note NA/Not enoguh info needed) - but oevrall good by copilot"	2026-01-29T11:00:14.758024
PMC10716825	dataset/splits	"We maintained a distinct test/validation dataset to evaluate the model's performance on TCGA datasets. The original datasets were randomly split, ensuring that each class was proportionally represented within the dataset. Approximately 70% of the data was allocated to the training dataset, while the remaining 30% was assigned to the test dataset.

To assess the model's performance on the CLL and cervical cancer datasets, we employed the Repeated (10) Stratified K-fold (3) Cross-Validation method. This approach allowed us to thoroughly evaluate the model by repeatedly dividing the data into folds, ensuring that each fold maintained a balanced distribution of classes.
"	In our study, we utilized a machine learning pipeline that involved splitting the datasets into multiple parts for training and testing purposes. Specifically, the dataset was divided into k equal-sized bins in a stratified manner, with k set to 3. This means that the dataset was split into three parts. For each iteration of the k-fold cross-validation process, k-1 bins were used for training, and the remaining bin was used for testing. This process ensured that each subset of the data was used for both training and testing, providing a comprehensive evaluation across different parts of the dataset. The entire pipeline was repeated ten times, and the average performance was considered the final model performance. This approach helped in ensuring that the model's performance was robust and generalizable to unseen data.	Tie_Low	"Each Q not addressed - info not in source but the Qs on fistibruion not met by copilot to even say not enough ifnormation.Possibel break fo Qs in each box to address would support.

SLightly more human info but not addressing all either. Need yes/no for separate avlaiation set used and a fgure. Test and training data points not mentioned by copilot but 70:30 from human noted - neither have exact figures.

Q length limitations - human too much to answer and next section on redundancy is a bit repetitive to a reader"	2026-01-29T11:02:12.192603
PMC10716825	dataset/redundancy	"We maintained a distinct test/validation dataset to evaluate the model's performance on TCGA datasets. The original datasets were randomly split, ensuring that each class was proportionally represented within the dataset. Approximately 70% of the data was allocated to the training dataset, while the remaining 30% was assigned to the test dataset.

To assess the model's performance on the CLL and cervical cancer datasets, we employed the Repeated (10) Stratified K-fold (3) Cross-Validation method. This approach allowed us to thoroughly evaluate the model by repeatedly dividing the data into folds, ensuring that each fold maintained a balanced distribution of classes.
"	"The datasets used in our study varied in size and characteristics. For the larger datasets, specifically The Cancer Genome Atlas (TCGA) breast invasive carcinoma (BRCA) and the body signals dataset, we were able to create an independent test set comprising 30% of the data. This allowed us to rigorously evaluate the performance of our models on unseen data, ensuring that the training and test sets were independent.

To enforce the independence of the training and test sets, we employed a stratified approach. This method ensures that the distribution of the target variable is preserved in both the training and test sets, which is crucial for maintaining the integrity of the evaluation process.

The distribution of our datasets compares favorably to previously published machine learning datasets. For instance, the body signals dataset includes 21 essential biological signals related to health, such as measurements of systolic blood pressure and total cholesterol levels, collected from 100,000 individuals. This large and diverse dataset allows for robust training and evaluation of machine learning models.

In contrast, some of our datasets were relatively small or imbalanced. For example, the chronic lymphocytic leukemia (CLL) and cervical cancer datasets were smaller in size, while the TCGA datasets were imbalanced. To address these challenges, we utilized an in-house machine learning pipeline that included data resampling techniques, such as the SMOTETomek method. This method combines synthetic data generation for the minority class and the removal of majority class samples identified as Tomek links, helping to balance the datasets and improve model performance.

Overall, our approach to dataset splitting and independence ensures that our models are evaluated on representative and unbiased data, providing a reliable assessment of their performance."	B_Better	Copilot: distribution - a bit fabricated and not addressing 5x dataset - should be not enough info and address each identified prior. Better general coverage vs other mukti q fields. Beats human who should easily be able to comment on comparisons to prior ML datasets.	2026-01-29T11:11:27.872379
PMC10716825	dataset/availability	The datasets we have utilized are publicly available datasets. All the relevant details can be found in the manuscript.	The data and supporting materials used in this study are publicly available. An archival copy of the code and supporting data can be accessed via the GigaScience repository, GigaDB. This repository hosts the DOME-ML (Data, Optimisation, Model, and Evaluation in Machine Learning) annotations, which support the current study. The data is released under the Creative Commons Attribution License, which permits unrestricted reuse, distribution, and reproduction in any medium, provided the original work is properly cited. This ensures that the data is accessible to the scientific community and can be used for further research and validation.	B_Better	No extarction of hyperlink from reference to DOI - should breakdown across all 5x datasets and provide PIDs or DOI for each or not available. (e.g. public TCGA)	2026-01-29T11:19:24.041873
